,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,flags,window,chksum,urgptr,options,payload,payload_raw,payload_hex
0,4,5,0,905,59503,DF,0,64,6,63169,172.28.0.2,172.28.0.3,0,1648867610.8695045,9000,32860,2094273608,4095417590,8,0,PA,501,23481,0,3,853,"b'\x81~\x03Q{""header"": {""msg_id"": ""d58f3b7d-f43d96cf7eb2647100805a9e"", ""msg_type"": ""execute_input"", ""username"": ""username"", ""session"": ""6d359399-bdc83f1d36ee2df0c676c17c"", ""date"": ""2022-04-02T02:46:50.850530Z"", ""version"": ""5.3""}, ""msg_id"": ""d58f3b7d-f43d96cf7eb2647100805a9e"", ""msg_type"": ""execute_input"", ""parent_header"": {""msg_id"": ""52b9c15e87fa4f73dd632cb551de420e"", ""username"": ""username"", ""session"": ""2f86c1feab0742b7d7577c86c32fbee1"", ""msg_type"": ""execute_request"", ""version"": ""5.0"", ""date"": ""2022-04-02T02:46:50.846159Z""}, ""metadata"": {}, ""content"": {""code"": ""# Se capturan 100 paquetes\\nnum_of_packets_to_sniff = 100\\npcap = sniff(count=num_of_packets_to_sniff)\\n\\n# rdpcap returns packet list\\n## packetlist object can be enumerated \\nprint(type(pcap))\\nprint(len(pcap))\\nprint(pcap)\\npcap[0]"", ""execution_count"": 4}, ""buffers"": [], ""channel"": ""iopub""}'",b'817e03517b22686561646572223a207b226d73675f6964223a202264353866336237642d663433643936636637656232363437313030383035613965222c20226d73675f74797065223a2022657865637574655f696e707574222c2022757365726e616d65223a2022757365726e616d65222c202273657373696f6e223a202236643335393339392d626463383366316433366565326466306336373663313763222c202264617465223a2022323032322d30342d30325430323a34363a35302e3835303533305a222c202276657273696f6e223a2022352e33227d2c20226d73675f6964223a202264353866336237642d663433643936636637656232363437313030383035613965222c20226d73675f74797065223a2022657865637574655f696e707574222c2022706172656e745f686561646572223a207b226d73675f6964223a20223532623963313565383766613466373364643633326362353531646534323065222c2022757365726e616d65223a2022757365726e616d65222c202273657373696f6e223a20223266383663316665616230373432623764373537376338366333326662656531222c20226d73675f74797065223a2022657865637574655f72657175657374222c202276657273696f6e223a2022352e30222c202264617465223a2022323032322d30342d30325430323a34363a35302e3834363135395a227d2c20226d65746164617461223a207b7d2c2022636f6e74656e74223a207b22636f6465223a20222320536520636170747572616e203130302070617175657465735c6e6e756d5f6f665f7061636b6574735f746f5f736e696666203d203130305c6e70636170203d20736e69666628636f756e743d6e756d5f6f665f7061636b6574735f746f5f736e696666295c6e5c6e23207264706361702072657475726e73207061636b6574206c6973745c6e2323207061636b65746c697374206f626a6563742063616e20626520656e756d657261746564205c6e7072696e742874797065287063617029295c6e7072696e74286c656e287063617029295c6e7072696e742870636170295c6e706361705b305d222c2022657865637574696f6e5f636f756e74223a20347d2c202262756666657273223a205b5d2c20226368616e6e656c223a2022696f707562227d'
1,4,5,0,52,53876,DF,0,64,6,4114,172.28.0.3,172.28.0.2,0,1648867610.8695536,32860,9000,4095417590,2094274461,8,0,A,501,22628,0,3,0,b'',b''
2,4,5,0,905,55766,DF,0,64,6,1371,172.28.0.3,172.28.0.2,0,1648867610.8699172,6000,51000,181046166,1533969706,8,0,PA,501,23481,0,3,853,"b'\x81~\x03Q{""header"": {""msg_id"": ""d58f3b7d-f43d96cf7eb2647100805a9e"", ""msg_type"": ""execute_input"", ""username"": ""username"", ""session"": ""6d359399-bdc83f1d36ee2df0c676c17c"", ""date"": ""2022-04-02T02:46:50.850530Z"", ""version"": ""5.3""}, ""msg_id"": ""d58f3b7d-f43d96cf7eb2647100805a9e"", ""msg_type"": ""execute_input"", ""parent_header"": {""msg_id"": ""52b9c15e87fa4f73dd632cb551de420e"", ""username"": ""username"", ""session"": ""2f86c1feab0742b7d7577c86c32fbee1"", ""msg_type"": ""execute_request"", ""version"": ""5.0"", ""date"": ""2022-04-02T02:46:50.846159Z""}, ""metadata"": {}, ""content"": {""code"": ""# Se capturan 100 paquetes\\nnum_of_packets_to_sniff = 100\\npcap = sniff(count=num_of_packets_to_sniff)\\n\\n# rdpcap returns packet list\\n## packetlist object can be enumerated \\nprint(type(pcap))\\nprint(len(pcap))\\nprint(pcap)\\npcap[0]"", ""execution_count"": 4}, ""buffers"": [], ""channel"": ""iopub""}'",b'817e03517b22686561646572223a207b226d73675f6964223a202264353866336237642d663433643936636637656232363437313030383035613965222c20226d73675f74797065223a2022657865637574655f696e707574222c2022757365726e616d65223a2022757365726e616d65222c202273657373696f6e223a202236643335393339392d626463383366316433366565326466306336373663313763222c202264617465223a2022323032322d30342d30325430323a34363a35302e3835303533305a222c202276657273696f6e223a2022352e33227d2c20226d73675f6964223a202264353866336237642d663433643936636637656232363437313030383035613965222c20226d73675f74797065223a2022657865637574655f696e707574222c2022706172656e745f686561646572223a207b226d73675f6964223a20223532623963313565383766613466373364643633326362353531646534323065222c2022757365726e616d65223a2022757365726e616d65222c202273657373696f6e223a20223266383663316665616230373432623764373537376338366333326662656531222c20226d73675f74797065223a2022657865637574655f72657175657374222c202276657273696f6e223a2022352e30222c202264617465223a2022323032322d30342d30325430323a34363a35302e3834363135395a227d2c20226d65746164617461223a207b7d2c2022636f6e74656e74223a207b22636f6465223a20222320536520636170747572616e203130302070617175657465735c6e6e756d5f6f665f7061636b6574735f746f5f736e696666203d203130305c6e70636170203d20736e69666628636f756e743d6e756d5f6f665f7061636b6574735f746f5f736e696666295c6e5c6e23207264706361702072657475726e73207061636b6574206c6973745c6e2323207061636b65746c697374206f626a6563742063616e20626520656e756d657261746564205c6e7072696e742874797065287063617029295c6e7072696e74286c656e287063617029295c6e7072696e742870636170295c6e706361705b305d222c2022657865637574696f6e5f636f756e74223a20347d2c202262756666657273223a205b5d2c20226368616e6e656c223a2022696f707562227d'
3,4,5,0,52,36601,DF,0,64,6,21389,172.28.0.2,172.28.0.3,0,1648867610.8699346,51000,6000,1533969706,181047019,8,0,A,501,22628,0,3,0,b'',b''
4,4,5,0,984,14683,DF,0,64,6,42377,172.28.0.2,172.28.0.1,0,1648867610.8703103,8080,60872,3998463182,3745634927,8,0,PA,501,23558,0,3,932,"b'HTTP/1.1 200 OK\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Length: 703\r\nAccess-Control-Allow-Origin: *\r\nSet-Cookie: io=s5Vyxg5QkGBdyalgAAAA; Path=/; HttpOnly\r\nDate: Sat, 02 Apr 2022 02:46:50 GMT\r\nConnection: keep-alive\r\n\r\n699:42/session,[""data"",{""data"":""{\\""header\\"": {\\""msg_id\\"": \\""adbae934-8c416e637af3a05b4e9444f7\\"", \\""msg_type\\"": \\""status\\"", \\""username\\"": \\""username\\"", \\""session\\"": \\""6d359399-bdc83f1d36ee2df0c676c17c\\"", \\""date\\"": \\""2022-04-02T02:46:50.849964Z\\"", \\""version\\"": \\""5.3\\""}, \\""msg_id\\"": \\""adbae934-8c416e637af3a05b4e9444f7\\"", \\""msg_type\\"": \\""status\\"", \\""parent_header\\"": {\\""msg_id\\"": \\""52b9c15e87fa4f73dd632cb551de420e\\"", \\""username\\"": \\""username\\"", \\""session\\"": \\""2f86c1feab0742b7d7577c86c32fbee1\\"", \\""msg_type\\"": \\""execute_request\\"", \\""version\\"": \\""5.0\\"", \\""date\\"": \\""2022-04-02T02:46:50.846159Z\\""}, \\""metadata\\"": {}, \\""content\\"": {\\""execution_state\\"": \\""busy\\""}, \\""buffers\\"": [], \\""channel\\"": \\""iopub\\""}""}]'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f706c61696e3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203730330d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a5365742d436f6f6b69653a20696f3d73355679786735516b47426479616c67414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a205361742c2030322041707220323032322030323a34363a353020474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3639393a34322f73657373696f6e2c5b2264617461222c7b2264617461223a227b5c226865616465725c223a207b5c226d73675f69645c223a205c2261646261653933342d3863343136653633376166336130356234653934343466375c222c205c226d73675f747970655c223a205c227374617475735c222c205c22757365726e616d655c223a205c22757365726e616d655c222c205c2273657373696f6e5c223a205c2236643335393339392d6264633833663164333665653264663063363736633137635c222c205c22646174655c223a205c22323032322d30342d30325430323a34363a35302e3834393936345a5c222c205c2276657273696f6e5c223a205c22352e335c227d2c205c226d73675f69645c223a205c2261646261653933342d3863343136653633376166336130356234653934343466375c222c205c226d73675f747970655c223a205c227374617475735c222c205c22706172656e745f6865616465725c223a207b5c226d73675f69645c223a205c2235326239633135653837666134663733646436333263623535316465343230655c222c205c22757365726e616d655c223a205c22757365726e616d655c222c205c2273657373696f6e5c223a205c2232663836633166656162303734326237643735373763383663333266626565315c222c205c226d73675f747970655c223a205c22657865637574655f726571756573745c222c205c2276657273696f6e5c223a205c22352e305c222c205c22646174655c223a205c22323032322d30342d30325430323a34363a35302e3834363135395a5c227d2c205c226d657461646174615c223a207b7d2c205c22636f6e74656e745c223a207b5c22657865637574696f6e5f73746174655c223a205c22627573795c227d2c205c22627566666572735c223a205b5d2c205c226368616e6e656c5c223a205c22696f7075625c227d227d5d'
5,4,5,0,52,6498,DF,0,64,6,51494,172.28.0.1,172.28.0.2,0,1648867610.8703387,60872,8080,3745634927,3998464114,8,0,A,501,22626,0,3,0,b'',b''
6,4,5,0,663,6499,DF,0,64,6,50882,172.28.0.1,172.28.0.2,0,1648867611.027817,60872,8080,3745634927,3998464114,8,0,PA,501,23237,0,3,611,"b'GET /socket.io/?EIO=3&sid=s5Vyxg5QkGBdyalgAAAA&t=N_eAn2y&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36,gzip(gfe)\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.9,en;q=0.8\r\nReferer: https://colab.research.google.com/\r\nSec-Ch-Ua: "" Not A;Brand"";v=""99"", ""Chromium"";v=""100"", ""Google Chrome"";v=""100""\r\nSec-Ch-Ua-Mobile: ?0\r\nSec-Ch-Ua-Platform: ""Windows""\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\n\r\n'",b'474554202f736f636b65742e696f2f3f45494f3d33267369643d73355679786735516b47426479616c674141414126743d4e5f65416e3279267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f3130302e302e343839362e3630205361666172692f3533372e33362c677a697028676665290d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e392c656e3b713d302e380d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d43682d55613a2022204e6f7420413b4272616e64223b763d223939222c20224368726f6d69756d223b763d22313030222c2022476f6f676c65204368726f6d65223b763d22313030220d0a5365632d43682d55612d4d6f62696c653a203f300d0a5365632d43682d55612d506c6174666f726d3a202257696e646f7773220d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a0d0a'
7,4,5,0,52,14684,DF,0,64,6,43308,172.28.0.2,172.28.0.1,0,1648867611.0278535,8080,60872,3998464114,3745635538,8,0,A,501,22626,0,3,0,b'',b''
8,4,5,0,1250,14685,DF,0,64,6,42109,172.28.0.2,172.28.0.1,0,1648867611.028872,8080,60872,3998464114,3745635538,8,0,PA,501,23824,0,3,1198,"b'HTTP/1.1 200 OK\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Length: 969\r\nAccess-Control-Allow-Origin: *\r\nSet-Cookie: io=s5Vyxg5QkGBdyalgAAAA; Path=/; HttpOnly\r\nDate: Sat, 02 Apr 2022 02:46:51 GMT\r\nConnection: keep-alive\r\n\r\n965:42/session,[""data"",{""data"":""{\\""header\\"": {\\""msg_id\\"": \\""d58f3b7d-f43d96cf7eb2647100805a9e\\"", \\""msg_type\\"": \\""execute_input\\"", \\""username\\"": \\""username\\"", \\""session\\"": \\""6d359399-bdc83f1d36ee2df0c676c17c\\"", \\""date\\"": \\""2022-04-02T02:46:50.850530Z\\"", \\""version\\"": \\""5.3\\""}, \\""msg_id\\"": \\""d58f3b7d-f43d96cf7eb2647100805a9e\\"", \\""msg_type\\"": \\""execute_input\\"", \\""parent_header\\"": {\\""msg_id\\"": \\""52b9c15e87fa4f73dd632cb551de420e\\"", \\""username\\"": \\""username\\"", \\""session\\"": \\""2f86c1feab0742b7d7577c86c32fbee1\\"", \\""msg_type\\"": \\""execute_request\\"", \\""version\\"": \\""5.0\\"", \\""date\\"": \\""2022-04-02T02:46:50.846159Z\\""}, \\""metadata\\"": {}, \\""content\\"": {\\""code\\"": \\""# Se capturan 100 paquetes\\\\nnum_of_packets_to_sniff = 100\\\\npcap = sniff(count=num_of_packets_to_sniff)\\\\n\\\\n# rdpcap returns packet list\\\\n## packetlist object can be enumerated \\\\nprint(type(pcap))\\\\nprint(len(pcap))\\\\nprint(pcap)\\\\npcap[0]\\"", \\""execution_count\\"": 4}, \\""buffers\\"": [], \\""channel\\"": \\""iopub\\""}""}]'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f706c61696e3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203936390d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a5365742d436f6f6b69653a20696f3d73355679786735516b47426479616c67414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a205361742c2030322041707220323032322030323a34363a353120474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3936353a34322f73657373696f6e2c5b2264617461222c7b2264617461223a227b5c226865616465725c223a207b5c226d73675f69645c223a205c2264353866336237642d6634336439366366376562323634373130303830356139655c222c205c226d73675f747970655c223a205c22657865637574655f696e7075745c222c205c22757365726e616d655c223a205c22757365726e616d655c222c205c2273657373696f6e5c223a205c2236643335393339392d6264633833663164333665653264663063363736633137635c222c205c22646174655c223a205c22323032322d30342d30325430323a34363a35302e3835303533305a5c222c205c2276657273696f6e5c223a205c22352e335c227d2c205c226d73675f69645c223a205c2264353866336237642d6634336439366366376562323634373130303830356139655c222c205c226d73675f747970655c223a205c22657865637574655f696e7075745c222c205c22706172656e745f6865616465725c223a207b5c226d73675f69645c223a205c2235326239633135653837666134663733646436333263623535316465343230655c222c205c22757365726e616d655c223a205c22757365726e616d655c222c205c2273657373696f6e5c223a205c2232663836633166656162303734326237643735373763383663333266626565315c222c205c226d73675f747970655c223a205c22657865637574655f726571756573745c222c205c2276657273696f6e5c223a205c22352e305c222c205c22646174655c223a205c22323032322d30342d30325430323a34363a35302e3834363135395a5c227d2c205c226d657461646174615c223a207b7d2c205c22636f6e74656e745c223a207b5c22636f64655c223a205c222320536520636170747572616e203130302070617175657465735c5c6e6e756d5f6f665f7061636b6574735f746f5f736e696666203d203130305c5c6e70636170203d20736e69666628636f756e743d6e756d5f6f665f7061636b6574735f746f5f736e696666295c5c6e5c5c6e23207264706361702072657475726e73207061636b6574206c6973745c5c6e2323207061636b65746c697374206f626a6563742063616e20626520656e756d657261746564205c5c6e7072696e742874797065287063617029295c5c6e7072696e74286c656e287063617029295c5c6e7072696e742870636170295c5c6e706361705b305d5c222c205c22657865637574696f6e5f636f756e745c223a20347d2c205c22627566666572735c223a205b5d2c205c226368616e6e656c5c223a205c22696f7075625c227d227d5d'
9,4,5,0,52,6500,DF,0,64,6,51492,172.28.0.1,172.28.0.2,0,1648867611.029147,60872,8080,3745635538,3998465312,8,0,A,501,22626,0,3,0,b'',b''
10,4,5,0,767,6501,DF,0,64,6,50776,172.28.0.1,172.28.0.2,0,1648867611.2306354,60872,8080,3745635538,3998465312,8,0,PA,501,23341,0,3,715,"b'POST /socket.io/?EIO=3&sid=s5Vyxg5QkGBdyalgAAAA&t=N_eAn69&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36,gzip(gfe)\r\nContent-Length: 55\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.9,en;q=0.8\r\nContent-Type: text/plain;charset=UTF-8\r\nOrigin: https://colab.research.google.com\r\nReferer: https://colab.research.google.com/\r\nSec-Ch-Ua: "" Not A;Brand"";v=""99"", ""Chromium"";v=""100"", ""Google Chrome"";v=""100""\r\nSec-Ch-Ua-Mobile: ?0\r\nSec-Ch-Ua-Platform: ""Windows""\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\n\r\n'",b'504f5354202f736f636b65742e696f2f3f45494f3d33267369643d73355679786735516b47426479616c674141414126743d4e5f65416e3639267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f3130302e302e343839362e3630205361666172692f3533372e33362c677a697028676665290d0a436f6e74656e742d4c656e6774683a2035350d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e392c656e3b713d302e380d0a436f6e74656e742d547970653a20746578742f706c61696e3b636861727365743d5554462d380d0a4f726967696e3a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d43682d55613a2022204e6f7420413b4272616e64223b763d223939222c20224368726f6d69756d223b763d22313030222c2022476f6f676c65204368726f6d65223b763d22313030220d0a5365632d43682d55612d4d6f62696c653a203f300d0a5365632d43682d55612d506c6174666f726d3a202257696e646f7773220d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a0d0a'
11,4,5,0,52,14686,DF,0,64,6,43306,172.28.0.2,172.28.0.1,0,1648867611.2306654,8080,60872,3998465312,3745636253,8,0,A,501,22626,0,3,0,b'',b''
12,4,5,0,107,6502,DF,0,64,6,51435,172.28.0.1,172.28.0.2,0,1648867611.2313888,60872,8080,3745636253,3998465312,8,0,PA,501,22681,0,3,55,"b'52:451-/debugger,[""data"",{""_placeholder"":true,""num"":0}]'",b'35323a3435312d2f64656275676765722c5b2264617461222c7b225f706c616365686f6c646572223a747275652c226e756d223a307d5d'
13,4,5,0,52,14687,DF,0,64,6,43305,172.28.0.2,172.28.0.1,0,1648867611.2314029,8080,60872,3998465312,3745636308,8,0,A,501,22626,0,3,0,b'',b''
14,4,5,0,337,14688,DF,0,64,6,43019,172.28.0.2,172.28.0.1,0,1648867611.2319326,8080,60872,3998465312,3745636308,8,0,PA,501,22911,0,3,285,"b'HTTP/1.1 200 OK\r\nContent-Type: text/html\r\nContent-Length: 2\r\nAccess-Control-Allow-Credentials: true\r\nAccess-Control-Allow-Origin: https://colab.research.google.com\r\nSet-Cookie: io=s5Vyxg5QkGBdyalgAAAA; Path=/; HttpOnly\r\nDate: Sat, 02 Apr 2022 02:46:51 GMT\r\nConnection: keep-alive\r\n\r\nok'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f68746d6c0d0a436f6e74656e742d4c656e6774683a20320d0a4163636573732d436f6e74726f6c2d416c6c6f772d43726564656e7469616c733a20747275650d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a5365742d436f6f6b69653a20696f3d73355679786735516b47426479616c67414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a205361742c2030322041707220323032322030323a34363a353120474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a6f6b'
15,4,5,0,52,6503,DF,0,64,6,51489,172.28.0.1,172.28.0.2,0,1648867611.232059,60872,8080,3745636308,3998465597,8,0,A,499,22626,0,3,0,b'',b''
16,4,5,0,663,6504,DF,0,64,6,50877,172.28.0.1,172.28.0.2,0,1648867611.2628207,60872,8080,3745636308,3998465597,8,0,PA,501,23237,0,3,611,"b'GET /socket.io/?EIO=3&sid=s5Vyxg5QkGBdyalgAAAA&t=N_eAn6A&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36,gzip(gfe)\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.9,en;q=0.8\r\nReferer: https://colab.research.google.com/\r\nSec-Ch-Ua: "" Not A;Brand"";v=""99"", ""Chromium"";v=""100"", ""Google Chrome"";v=""100""\r\nSec-Ch-Ua-Mobile: ?0\r\nSec-Ch-Ua-Platform: ""Windows""\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\n\r\n'",b'474554202f736f636b65742e696f2f3f45494f3d33267369643d73355679786735516b47426479616c674141414126743d4e5f65416e3641267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f3130302e302e343839362e3630205361666172692f3533372e33362c677a697028676665290d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e392c656e3b713d302e380d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d43682d55613a2022204e6f7420413b4272616e64223b763d223939222c20224368726f6d69756d223b763d22313030222c2022476f6f676c65204368726f6d65223b763d22313030220d0a5365632d43682d55612d4d6f62696c653a203f300d0a5365632d43682d55612d506c6174666f726d3a202257696e646f7773220d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a0d0a'
17,4,5,0,52,14689,DF,0,64,6,43303,172.28.0.2,172.28.0.1,0,1648867611.3028991,8080,60872,3998465597,3745636919,8,0,A,501,22626,0,3,0,b'',b''
